entry,part_of_speech,korean_meaning,example_sentence
parsimonious,adj.,"지나치게 검소한, 인색한",His parsimonious nature meant he rarely went out with friends for entertainment.
pedantic,adj.,"지나치게 규칙을 따지는, 현학적인",His pedantic approach to teaching made his classes dull and uninspiring.
perfunctory,adj.,"형식적인, 기계적인",She gave a perfunctory nod and continued with her work without enthusiasm.
querulous,adj.,"불평 많은, 짜증내는",The querulous customer complained about the service even though nothing was wrong.
salient,adj.,"가장 두드러진, 핵심적인",The salient point of the argument was that the proposal was too expensive.
ubiquitous,adj.,"도처에 있는, 어디에나 있는",Smartphones are ubiquitous in modern society and daily life.
vexatious,adj.,"짜증나게 하는, 성가신",The vexatious delay in the flight schedule caused many passengers to miss connections.
zealous,adj.,"열성적인, 열광적인",The zealous soccer fans cheered loudly for their team throughout the match.
abhor,v.,"혐오하다, 몹시 싫어하다",She abhors violence in any form and advocates for peaceful solutions.
acquiesce,v.,(마지못해) 순응하다,He acquiesced to the demands rather than face further confrontation.
adroit,adj.,"능숙한, 솜씨 좋은",The surgeon was adroit in performing the complex operation successfully.
aesthetic,adj.,"심미적인, 미학의",The museum’s aesthetic appeal attracted visitors from around the world.
affable,adj.,"상냥한, 붙임성 있는",The affable host made everyone feel comfortable at the dinner party.
aggregate,n.,"집합체, 총합",The aggregate score determined the winner of the competition.
alleviate,v.,"완화하다, 경감하다",The medication helped alleviate her chronic pain significantly.
ambivalent,adj.,"양가감정의, 엇갈린",She felt ambivalent about accepting the job offer in another country.
amiable,adj.,"상냥한, 붙임성 있는",The amiable shopkeeper always greeted customers with a warm smile.
amplify,v.,"증폭하다, 확대하다",The microphone amplified her voice so everyone could hear clearly.
antithesis,n.,"정반대, 대조",His behavior was the antithesis of what was expected from a professional.
appease,v.,"달래다, 회유하다",The government tried to appease the protesters with minor concessions.
articulate,adj.,"분명히 표현하는, 또렷한",She was articulate in expressing her views on environmental policy.
ascertain,v.,"확인하다, 규명하다",The detective worked to ascertain the facts surrounding the mysterious case.
astute,adj.,"기민한, 영리한",The astute businessman recognized the potential of the new technology.
audacious,adj.,"대담한, 뻔뻔스러운",Her audacious plan to climb Mount Everest impressed the expedition team.
auspicious,adj.,"상서로운, 길조의",The sunny weather was an auspicious start to their wedding day.
avarice,n.,탐욕,His avarice led him to make unethical business decisions.
belligerent,adj.,"공격적인, 적대적인",The belligerent customer shouted at the staff over a minor issue.
berate,v.,호되게 꾸짖다,The coach berated the players for their poor performance during practice.
brevity,n.,간결함,The brevity of his speech made it more impactful and memorable.
candor,n.,"솔직함, 정직",She appreciated his candor when discussing the company’s financial problems.
capitulate,v.,"항복하다, 굴복하다",The army was forced to capitulate after months of siege.
caustic,adj.,"신랄한, 비꼬는",Her caustic remarks about his performance hurt his feelings deeply.
censure,v.,"비난하다, 견책하다",The committee voted to censure the politician for his inappropriate behavior.
chastise,v.,심하게 꾸짖다,The teacher chastised the student for cheating on the examination.
clemency,n.,"관용, 자비",The governor granted clemency to the prisoner on death row.
coerce,v.,"강요하다, 억지로 시키다",They tried to coerce him into signing the unfavorable contract.
cogent,adj.,설득력 있는,She presented a cogent argument for increasing the education budget.
complacent,adj.,"자기만족적인, 안주하는",The team became complacent after their early success in the season.
conciliatory,adj.,"달래는, 회유적인",He adopted a conciliatory tone to resolve the heated dispute.
condone,v.,"묵인하다, 용납하다",The school does not condone bullying in any form whatsoever.
confound,v.,"당황하게 하다, 혼동하다",The unexpected results confounded the researchers and their hypotheses.
conjecture,n.,"추측, 억측",His theory was based on conjecture rather than solid evidence.
connive,v.,"공모하다, 묵인하다",The security guard connived with the thieves to rob the bank.
contemplate,v.,심사숙고하다,She contemplated the job offer for several days before deciding.
contentious,adj.,논쟁을 일으키는,The contentious issue divided the community into opposing factions.
contrition,n.,"뉘우침, 회한",He showed genuine contrition for his mistakes and apologized sincerely.
copious,adj.,"풍부한, 막대한",The student took copious notes during the important lecture.
corroborate,v.,"입증하다, 확증하다",The witness testimony corroborated the defendant’s alibi perfectly.
credulous,adj.,"잘 믿는, 속기 쉬운",The credulous investor fell for the elaborate financial scam.
culpable,adj.,"비난받을 만한, 유죄의",The investigation found him culpable for the accident that occurred.
cursory,adj.,"대충 하는, 피상적인",She gave the document only a cursory glance before signing it.
cynical,adj.,"냉소적인, 비꼬는",His cynical attitude made it difficult for him to trust anyone.
dearth,n.,"부족, 결핍",There was a dearth of qualified candidates for the specialized position.
decorous,adj.,"품위 있는, 예의 바른",The funeral service was conducted in a decorous and respectful manner.
defamatory,adj.,"명예를 훼손하는, 비방하는",The newspaper published defamatory articles about the celebrity’s private life.
deference,n.,"존경, 경의",She showed deference to her elderly professor’s extensive knowledge.
defunct,adj.,"더 이상 존재하지 않는, 현존하지 않는",The defunct factory was converted into a modern shopping center.
delineate,v.,"정확히 묘사하다, 기술하다",The architect delineated the building plans with meticulous detail.
denounce,v.,"비난하다, 규탄하다",The activist denounced the government’s environmental policies.
deplore,v.,"개탄하다, 한탄하다",She deplored the violence shown in modern television programs.
deride,v.,"조롱하다, 비웃다",The critics derided his latest novel as pretentious and boring.
despondent,adj.,"낙심한, 풀이 죽은",He became despondent after failing the important examination.
destitute,adj.,"빈곤한, 궁핍한",The charity helps families who are destitute and homeless.
deter,v.,"단념시키다, 저지하다",The security cameras were installed to deter potential thieves.
detrimental,adj.,"해로운, 불이익한",Smoking is detrimental to your health and overall well-being.
devoid,adj.,"~이 없는, 결여된",The room was devoid of any furniture or decorations.
dexterous,adj.,"손재주가 있는, 능숙한",The surgeon’s dexterous movements saved the patient’s life.
didactic,adj.,"교훈적인, 가르치려 드는",The novel was criticized for being too didactic and preachy.
diffident,adj.,"소심한, 자신감이 없는","Despite her talent, she remained diffident about her artistic abilities."
dilatory,adj.,"지체하는, 느릿한",The committee’s dilatory response frustrated the urgent situation.
discern,v.,"식별하다, 분간하다",She could discern the subtle differences between the two paintings.
discordant,adj.,"조화되지 않는, 불협화음의",The discordant voices in the choir ruined the performance.
discrepancy,n.,"불일치, 모순",There was a discrepancy between his story and the evidence.
disdain,n.,"경멸, 멸시",She looked at him with obvious disdain and contempt.
dispassionate,adj.,"감정에 휘둘리지 않는, 냉정한",The judge remained dispassionate throughout the emotional trial.
disseminate,v.,(정보 등을) 퍼뜨리다,The organization disseminated information about the health risks.
dissonance,n.,"불협화음, 불일치",The dissonance in their relationship became increasingly apparent.
dogmatic,adj.,"독단적인, 교조적인",His dogmatic approach to teaching stifled creative thinking.
dormant,adj.,"활동하지 않는, 휴면 중인",The volcano had been dormant for over a century.
dubious,adj.,"의심스러운, 수상한",She was dubious about the accuracy of his claims.
duplicity,n.,"이중성, 기만",His duplicity was revealed when his lies were exposed.
ebullient,adj.,"패기만만한, 열정적인",She was ebullient about her acceptance to the prestigious university.
eccentric,adj.,"괴짜의, 별난",The eccentric professor was known for his unusual teaching methods.
efficacious,adj.,"효과적인, 효험 있는",The new treatment proved efficacious in curing the disease.
eloquent,adj.,"웅변의, 설득력 있는",The eloquent speaker moved the audience to tears.
elucidate,v.,명료하게 설명하다,The professor elucidated the complex theory with simple examples.
emaciated,adj.,"쇠약한, 수척한",The emaciated refugees needed immediate medical attention.
embellish,v.,"꾸미다, 장식하다",She embellished her story with fictional details to make it more interesting.
empirical,adj.,"경험적인, 실증적인",The scientist relied on empirical evidence to support her hypothesis.
emulate,v.,"모방하다, 필적하다",Young athletes often emulate their sports heroes and role models.
endemic,adj.,"(특정 지역에) 고유한, 풍토적인",Malaria is endemic to many tropical regions of the world.
endorse,v.,"지지하다, 승인하다",The celebrity endorsed the new environmental protection campaign.
engender,v.,"불러일으키다, 야기하다",The controversial policy engendered heated debate among citizens.
enhance,v.,"향상시키다, 강화하다",The new software will enhance the computer’s performance significantly.
enigmatic,adj.,"수수께끼 같은, 난해한",The Mona Lisa’s enigmatic smile has puzzled viewers for centuries.
enmity,n.,"적의, 증오",The enmity between the two families lasted for generations.
enthrall,v.,"마음을 사로잡다, 매혹하다",The magician’s performance enthralled the audience completely.
epitome,n.,"전형, 완벽한 본보기",She was the epitome of grace and elegance at the formal event.
equivocal,adj.,"모호한, 애매한",His equivocal response left everyone confused about his true intentions.
erudite,adj.,"박식한, 학식 있는",The erudite professor was respected for his vast knowledge.
eschew,v.,"피하다, 삼가다",She eschewed social media to focus on her academic studies.
esteem,n.,"존경, 존중",He was held in high esteem by his colleagues and peers.
euphemism,n.,완곡어법,“Passed away” is a euphemism for “died” in polite conversation.
evanescent,adj.,"덧없는, 순식간의",The evanescent beauty of the sunset left a lasting impression.
exacerbate,v.,악화시키다,The medication exacerbated his symptoms instead of improving them.
exacting,adj.,"엄격한, 까다로운",The exacting standards of the competition challenged all participants.
exalt,v.,"칭송하다, 높이다",The community exalted the hero for his brave actions.
exemplary,adj.,"모범적인, 본받을 만한",Her exemplary behavior earned her recognition from the school administration.
exonerate,v.,"무죄임을 밝히다, 면죄하다",New evidence exonerated the wrongly convicted man after years in prison.
expedite,v.,"신속히 처리하다, 촉진하다",The company expedited the delivery to meet the urgent deadline.
explicit,adj.,"명백한, 분명한",The contract contained explicit terms regarding payment and delivery.
exploit,v.,착취하다; 활용하다,The company exploited the natural resources of the region.
extol,v.,"극찬하다, 칭송하다",The critics extolled the virtues of the groundbreaking scientific discovery.
extraneous,adj.,"관련 없는, 외부의",The essay contained extraneous information that detracted from the main argument.
fabricate,v.,"날조하다, 조작하다",The witness fabricated his testimony to protect his friend.
facetious,adj.,"경박한, 익살맞은",His facetious comments during the meeting were not well received.
facilitate,v.,"용이하게 하다, 촉진하다",The new software will facilitate communication between departments.
fallacious,adj.,"그릇된, 허위의",His argument was fallacious and based on incorrect assumptions.
fervent,adj.,"열렬한, 강렬한",She was a fervent supporter of environmental conservation efforts.
fickle,adj.,변덕스러운,The fickle weather made it difficult to plan outdoor activities.
flagrant,adj.,"명백한, 극악한",The referee’s flagrant bias toward one team angered the spectators.
flaunt,v.,"과시하다, 자랑하다",She flaunted her expensive jewelry at the charity gala.
foment,v.,"선동하다, 조장하다",The radical leader tried to foment rebellion among the citizens.
forbearance,n.,"인내, 자제",His forbearance in dealing with difficult customers was admirable.
formidable,adj.,"어마어마한, 경외감을 일으키는",The mountain presented a formidable challenge to the experienced climbers.
fortuitous,adj.,"우연한, 행운의",Their fortuitous meeting at the airport led to a lifelong friendship.
fraudulent,adj.,"사기적인, 위조된",The investigation revealed fraudulent activities in the company’s accounting.
frivolous,adj.,"하찮은, 경솔한",The court dismissed the frivolous lawsuit as a waste of time.
frugal,adj.,"검소한, 절약하는",Her frugal lifestyle allowed her to save money for retirement.
futile,adj.,"헛된, 소용없는",Their attempts to revive the failing business proved futile.
galvanize,v.,"자극하다, 행동하게 만들다",The environmental disaster galvanized the community into action.
garner,v.,"모으다, 얻다",The candidate garnered support from various political groups.
genial,adj.,"상냥한, 다정한",The genial host made everyone feel welcome at the dinner party.
germane,adj.,"적절한, 관련된",His comments were not germane to the discussion at hand.
glib,adj.,"입심 좋은, 말만 번지르르한",The politician’s glib responses failed to address the serious concerns.
gratuitous,adj.,"쓸데없는, 불필요한",The movie contained gratuitous violence that added nothing to the plot.
gregarious,adj.,"사교적인, 남과 어울리기 좋아하는",The gregarious child made friends easily at the new school.
gullible,adj.,"잘 속는, 남을 잘 믿는",The gullible tourist was easily deceived by the street vendor.
hackneyed,adj.,"진부한, 상투적인",The speech was full of hackneyed phrases and clichés.
haphazard,adj.,"되는대로의, 무계획적인",The books were arranged in a haphazard manner on the shelves.
hedonistic,adj.,쾌락주의의,His hedonistic lifestyle eventually led to financial ruin.
heinous,adj.,"극악무도한, 잔인한",The heinous crime shocked the entire community.
heretical,adj.,"이단의, 이교의",His heretical views challenged the orthodox teachings of the church.
histrionic,adj.,"과장된, 연극적인",Her histrionic reaction to the minor criticism was embarrassing.
homogeneous,adj.,"동질의, 균질의",The committee was criticized for being too homogeneous in its composition.
hyperbole,n.,"과장법, 과장된 말",The advertisement used hyperbole to promote the product’s benefits.
hypothetical,adj.,"가상의, 가정의",The professor presented a hypothetical scenario to illustrate the concept.
ideology,n.,"이념, 사상 체계",The party’s ideology influenced all of their policy decisions.
idyllic,adj.,"목가적인, 전원적인",They spent an idyllic weekend at the countryside cottage.
ignominious,adj.,"불명예스러운, 수치스러운",The team’s ignominious defeat ended their championship hopes.
illicit,adj.,"불법의, 위법의",The police discovered illicit drugs hidden in the warehouse.
immaculate,adj.,"티 하나 없이 깨끗한, 완벽한",Her immaculate appearance impressed the job interviewers.
imminent,adj.,"임박한, 곧 일어날",The dark clouds indicated that rain was imminent.
immutable,adj.,"불변의, 변경할 수 없는",The laws of physics are considered immutable principles.
impartial,adj.,"공정한, 치우치지 않은",The judge remained impartial throughout the controversial trial.
impeccable,adj.,"흠잡을 데 없는, 완벽한",His impeccable manners impressed everyone at the formal dinner.
impede,v.,"방해하다, 지연시키다",The heavy traffic impeded their progress to the airport.
imperative,adj.,"필수적인, 긴급한",It is imperative that we address climate change immediately.
imperious,adj.,"오만한, 고압적인",The imperious manager alienated his subordinates with his demanding attitude.
imperturbable,adj.,"차분한, 침착한",She remained imperturbable despite the chaos around her.
impetuous,adj.,"충동적인, 성급한",His impetuous decision to quit his job surprised everyone.
implausible,adj.,"믿기 어려운, 그럴듯하지 않은",The defendant’s alibi seemed implausible to the jury.
implicit,adj.,"암묵적인, 내포된",There was an implicit understanding between the two parties.
impromptu,adj.,"즉흥적인, 준비 없는",She gave an impromptu speech that moved the audience to tears.
inadvertent,adj.,"부주의한, 우연한",The inadvertent disclosure of confidential information caused problems.
inane,adj.,"어리석은, 무의미한",The comedian’s inane jokes failed to amuse the sophisticated audience.
incendiary,adj.,"선동적인, 자극적인",The politician’s incendiary remarks sparked protests in the streets.
incessant,adj.,"끊임없는, 쉴 새 없는",The incessant noise from construction kept the neighbors awake.
incisive,adj.,"예리한, 날카로운",Her incisive analysis of the problem impressed the board members.
incongruous,adj.,"조화되지 않는, 어울리지 않는",His casual attire was incongruous with the formal setting.
incontrovertible,adj.,"논쟁의 여지가 없는, 명백한",The DNA evidence provided incontrovertible proof of his guilt.
incorrigible,adj.,"교정할 수 없는, 구제 불능의",The incorrigible student continued to disrupt classes despite warnings.
incredulous,adj.,"의심 많은, 잘 믿지 않는",She gave him an incredulous look when he told his unlikely story.
indefatigable,adj.,"지치지 않는, 끈기 있는",The indefatigable researcher worked day and night on the project.
indigenous,adj.,"토착의, 고유한",The museum featured artifacts from indigenous cultures of the region.
indignant,adj.,"분개한, 화난",She was indignant about the discriminatory hiring practices.
indolent,adj.,"게으른, 나태한",His indolent attitude prevented him from achieving his potential.
indomitable,adj.,"불굴의, 굴하지 않는",Her indomitable spirit helped her overcome numerous obstacles.
indulgent,adj.,"관대한, 너그러운",The indulgent parents spoiled their children with expensive gifts.
ineffable,adj.,형언할 수 없는,The ineffable beauty of the sunset left them speechless.
inept,adj.,"서투른, 무능한",The inept waiter spilled drinks on several customers.
inexorable,adj.,"멈출 수 없는, 거침없는",The inexorable march of time affects everyone equally.
infallible,adj.,"절대 오류가 없는, 확실한",No human being is infallible; everyone makes errors sometimes.
inflammatory,adj.,"자극적인, 선동적인",The inflammatory article sparked heated debates online.
ingenious,adj.,"독창적인, 영리한",The engineer’s ingenious solution solved the complex technical problem.
ingenuous,adj.,"순진한, 솔직한",Her ingenuous nature made her vulnerable to deception.
inherent,adj.,"내재된, 타고난",Risk is inherent in any investment opportunity.
inhibit,v.,"억제하다, 방해하다",Shyness inhibited her from speaking up in meetings.
inimical,adj.,"해로운, 적대적인",The harsh weather conditions were inimical to outdoor activities.
innocuous,adj.,"무해한, 악의 없는",The seemingly innocuous comment actually contained a hidden insult.
insatiable,adj.,"만족할 줄 모르는, 탐욕스러운",His insatiable appetite for knowledge led him to read constantly.
insipid,adj.,"맛없는, 재미없는",The insipid conversation bored everyone at the dinner table.
insolent,adj.,"무례한, 건방진",The insolent teenager was suspended for disrespecting teachers.
instigate,v.,"부추기다, 선동하다",The activist tried to instigate reforms in the education system.
integral,adj.,"필수적인, 완전한",Mathematics is an integral part of engineering education.
integrity,n.,"정직, 청렴",His integrity made him a trusted leader in the organization.
intelligible,adj.,"이해할 수 있는, 명료한",The professor made the complex theory intelligible to undergraduate students.
intrepid,adj.,"대담한, 용감한",The intrepid explorer ventured into uncharted territories.
intrinsic,adj.,"고유한, 본질적인",The intrinsic value of education extends beyond monetary benefits.
intuitive,adj.,"직관적인, 본능적인",She had an intuitive understanding of human psychology.
inundate,v.,"범람시키다, 쇄도하게 하다",The office was inundated with applications for the popular position.
invective,n.,"독설, 욕설",The politician’s speech was full of invective against his opponents.
irascible,adj.,"화를 잘 내는, 성미 급한",The irascible old man complained about everything constantly.
irreverent,adj.,"불경한, 무례한",His irreverent humor offended some members of the conservative audience.
itinerant,adj.,"떠돌아다니는, 순회하는",The itinerant musician performed in different cities every week.
jaded,adj.,"지친, 싫증난",The jaded critic was difficult to impress with new artistic works.
jocular,adj.,"익살맞은, 유머러스한",His jocular personality made him popular at social gatherings.
judicious,adj.,"현명한, 신중한",The manager made a judicious decision to postpone the risky project.
kindle,v.,"불을 붙이다, 자극하다",The teacher’s enthusiasm kindled a love of learning in her students.
laborious,adj.,"힘든, 고된",Writing the comprehensive report was a laborious task.
lament,v.,"애통해하다, 한탄하다",She lamented the loss of traditional values in modern society.
latent,adj.,"잠재된, 숨은",The child showed latent musical talent that emerged later.
laudable,adj.,"칭찬할 만한, 훌륭한",Her laudable efforts to help the homeless were recognized by the community.
lethargic,adj.,"무기력한, 혼수 상태의",The hot weather made everyone feel lethargic and unmotivated.
levity,n.,"경솔함, 경박함",A little levity helped ease the tension during the difficult meeting.
liability,n.,"책임, 의무",The company accepted liability for the environmental damage.
libel,n.,명예훼손 (문서로),The newspaper was sued for libel after printing false accusations.
licentious,adj.,"방탕한, 음탕한",The novel was criticized for its licentious content and themes.
loquacious,adj.,"수다스러운, 말이 많은",The loquacious professor could lecture for hours without notes.
lucid,adj.,"명쾌한, 명석한","Despite his illness, he had lucid moments when he could communicate well."
ludicrous,adj.,"어이없는, 터무니없는",The suggestion to solve poverty by printing more money was ludicrous.
luminous,adj.,"빛나는, 반짝이는",The luminous stars provided guidance for the lost travelers.
magnanimous,adj.,"도량이 큰, 관대한",The magnanimous winner praised his defeated opponent’s efforts.
malevolent,adj.,"악의적인, 해로운",The malevolent dictator oppressed his people for decades.
malleable,adj.,"유연한, 영향을 잘 받는",Gold is malleable and can be shaped into intricate jewelry designs.
mandate,n.,"명령, 위임",The government received a mandate from voters to implement healthcare reform.
manifest,adj.,"분명한, 명백한",Her talent was manifest from an early age.
meager,adj.,"빈약한, 불충분한",The refugees survived on meager rations for months.
meticulous,adj.,"꼼꼼한, 세심한",The scientist’s meticulous research methodology ensured accurate results.
mitigate,v.,"완화하다, 줄이다",The new policies were designed to mitigate the effects of climate change.
mollify,v.,"달래다, 진정시키다",The manager tried to mollify the angry customers with a sincere apology.
morose,adj.,"시무룩한, 뚱한",He became morose after receiving the disappointing news about his application.
mundane,adj.,"평범한, 재미없는",She was tired of her mundane daily routine and craved adventure.
mutable,adj.,변하기 쉬운,Human opinions are mutable and can shift over time.
myopic,adj.,"근시안적인, 통찰력 부족한",The company’s myopic focus on profits ignored long-term sustainability.
nascent,adj.,"초기의, 막 시작된",The nascent technology showed promise for revolutionizing communication.
nebulous,adj.,"모호한, 흐릿한",His plans for the future remained nebulous and undefined.
nefarious,adj.,"사악한, 극악한",The detective uncovered the criminal’s nefarious plot to rob the bank.
negligible,adj.,"무시할 만한, 사소한",The side effects of the medication were negligible for most patients.
nemesis,n.,"숙적, 오랜 경쟁자",The superhero finally defeated his nemesis after years of conflict.
neophyte,n.,"초심자, 신참자","As a neophyte in cooking, she relied heavily on recipe books."
nonchalant,adj.,"무심한, 태연한",He remained nonchalant despite the chaos surrounding the emergency situation.
nostalgia,n.,"향수, 옛 추억에 대한 그리움",The old photographs filled her with nostalgia for her childhood days.
notorious,adj.,악명 높은,The notorious criminal was finally captured after years on the run.
novice,n.,"초보자, 미숙한 사람",The novice driver was nervous about taking the highway for the first time.
nuance,n.,"미묘한 차이, 뉘앙스",The translator captured every nuance of the original poem’s meaning.
obdurate,adj.,"완고한, 고집 센",The obdurate negotiator refused to compromise on any terms.
objective,adj.,객관적인,The journalist strived to maintain an objective perspective in her reporting.
obliterate,v.,"완전히 파괴하다, 지우다",The hurricane obliterated several coastal towns completely.
obscure,adj.,"불분명한, 모호한",The meaning of the ancient text remained obscure to scholars.
obsolete,adj.,"더 이상 사용되지 않는, 쓸모 없는",The old computer system was obsolete and needed to be replaced.
obviate,v.,"제거하다, 제거하다",The new technology obviated the need for manual labor in construction projects.
occasion,n.,"기회, 상황",The unexpected occasion allowed the couple to renew their vows in a beautiful setting.
ostensible,adj.,"표면적인, 외관상의",The ostensible purpose of the organization was to provide humanitarian aid.
ostentatious,adj.,"과시적인, 허세 부리는",The ostentatious display of wealth made the charity event feel more like a show than a genuine fundraiser.
outlandish,adj.,"이상한, 기괴한",The outlandish fashion choices of the attendees made the event memorable.
overwhelm,v.,"지나치게 넘치게 하다, 넘치게 하다",The heavy rainfall overwhelmed the small town’s drainage system.
overwhelming,adj.,"지나치게 많은, 지나치게 강한",The overwhelming success of the new product led to a surge in demand.
pacify,v.,"진정시키다, 안정시키다",The angry mob was pacified by the soothing words of the negotiator.
pallid,adj.,"창백한, 창백한",The pallor of the patient’s skin indicated a serious illness.
paradoxical,adj.,"모순적인, 이상한",The paradoxical nature of quantum mechanics baffled even the most brilliant physicists.
