entry,part_of_speech,korean_meaning,example_sentence
enquiry,n.,문의; 조사,"I made an enquiry about the delivery status of my order."
lord,n.,귀족; 주인,"The young lord inherited vast lands from his father."
neat,adj.,정돈된; 깔끔한,"Her handwriting is neat and easy to read."
parliament,n.,의회; 국회,"The new law was passed by Parliament last week."
pile,n.;v.,더미; 쌓다,"Books were piled up on the desk."
publication,n.,출판; 간행물,"The publication of his first novel made him famous overnight."
pupil,n.,학생; 동공,"The teacher praised her pupils for their hard work."
rid,v.,없애다; 제거하다,"She finally got rid of the old furniture."
rubber,n.;adj.,고무; 고무로 된,"The ball is made of soft rubber."
rural,adj.,시골의; 농촌의,"They moved to a rural area to enjoy a quiet life."
shallow,adj.,얕은; 깊지 않은,"The children played in the shallow water near the shore."
steel,n.,강철,"The bridge was built using reinforced steel beams."
steep,adj.,가파른; 급격한,"The path to the mountain top is very steep."
stiff,adj.,뻣뻣한; 경직된,"His muscles felt stiff after the long flight."
struggle,v.;n.,고군분투하다; 싸움,"Many small businesses struggle to survive during recessions."
tale,n.,이야기; 전설,"The old man told a tale about the sea monster."
term,v.,칭하다; 부르다,"The condition was termed ‘rare’ by the doctors."
unconscious,adj.,의식을 잃은; 무의식의,"She was knocked unconscious after the accident."
upwards,adv.,위로; 상승하여,"He looked upwards at the stars shining above."
urge,v.,촉구하다; 강하게 권하다,"The teacher urged the students to study harder."
via,prep.,~을 통해; 경유하여,"We flew to London via Dubai."
whereas,conj.,반면에,"He prefers coffee, whereas I like tea."
wound,n.;v.,상처; 상처를 입히다,"The soldier’s wound was quickly treated by the medic."
