entry,part_of_speech,korean_meaning,example_sentence
contrary,"adj., n.",반대의; 반대,"Contrary to expectations, sales increased."
contributor,n.,"기여자, 기고가",We thank every contributor to this project.
conversion,n.,"전환, 개조",The warehouse is under conversion into offices.
convict,v.,유죄를 선고하다,The jury voted to convict the defendant.
conviction,n.,유죄 판결; 확신,"Despite the setback, her conviction never wavered."
cooperate,v.,협력하다,The teams agreed to cooperate on the study.
cooperative,adj.,협력적인; 협동조합의,The discussion was cooperative and productive.
coordinate,v.,"조정하다, 조율하다",We need to coordinate timelines with design.
coordination,n.,"조정, 협력",Good coordination reduced delays.
coordinator,n.,"조정자, 진행 담당자",Ask the event coordinator for details.
cop,n.,경찰관(구어),A cop arrived and took statements.
copper,n.,구리,The pipes are made of copper.
copyright,n.,저작권,The photo is protected by copyright.
correction,n.,"수정, 정정",Please submit the correction by Friday.
correlate,v.,상관관계가 있다,These metrics strongly correlate with churn.
correlation,n.,상관관계,We observed a correlation between age and usage.
correspond,v.,일치하다; 서신을 주고받다,The results correspond with prior studies.
correspondence,n.,"서신, 관련성",Please keep copies of all correspondence.
correspondent,n.,"특파원, 통신원",She is a foreign correspondent in Paris.
corresponding,adj.,"상응하는, 해당하는",Please fill in the corresponding fields.
corrupt,adj.,부패한,They investigated corrupt practices in the agency.
corruption,n.,"부패, 타락",New measures aim to reduce corruption.
costly,adj.,비용이 많이 드는,Delays can be extremely costly.
councillor,n.,"의원, 시의원",A local councillor proposed the new bylaw.
counselling,n.,상담(영국식 철자),He sought counselling after the incident.
counsellor,n.,"상담가, 고문",A school counsellor helped the student.
counter (argue against),v.,"반박하다, 대응하다",She countered the claim with new evidence.
counterpart,n.,"상대자, 대응물",Her counterpart in Tokyo joined the call.
countless,adj.,무수한,There are countless ways to solve the problem.
coup,n.,쿠데타; 대성공,The surprise deal was a major coup.
courtesy,n.,"예의, 공손함","As a courtesy, we extended the deadline."
craft,v.,정교하게 만들다,"She crafted a clear, concise proposal."
crawl,v.,기다,Traffic began to crawl during rush hour.
creator,n.,"창작자, 창조자",The creator of the series thanked the fans.
credibility,n.,"신뢰도, 신용",The study boosted the team’s credibility.
credible,adj.,믿을 수 있는,We need a credible explanation for the outage.
creep,v.,살금살금 움직이다; 서서히 진행되다,Costs tend to creep up over time.
critique,n.,"비평, 평론",Her critique highlighted the report’s weaknesses.
crown,n.,왕관; 정상,They planted trees on the crown of the hill.
crude,adj.,조잡한; 원유의,The first prototype was crude but functional.
crush,v.,으깨다; 진압하다,The police moved in to crush the riot.
crystal,n.,수정; 크리스털,The glass contains lead crystal.
cult,"n., adj.",컬트; 이단적인,The film has a cult following.
cultivate,v.,경작하다; 함양하다,We need to cultivate long-term partnerships.
curiosity,n.,호기심,Her curiosity led to an important discovery.
custody,n.,"보호, 양육권; 구금",He was granted joint custody of the children.
cutting,n.,절단; 신문 스크랩,He kept a cutting of the article.
cynical,adj.,냉소적인,A cynical attitude can harm team morale.
dam,n.,댐,The dam supplies power to the region.
damaging,adj.,"해로운, 손상을 주는",The report contained damaging allegations.
dawn,n.,새벽; 시작,"At dawn, the fishermen left the harbor."
debris,n.,"잔해, 파편",The explosion scattered debris across the road.
debut,n.,데뷔,Her debut on the national team was impressive.
decision-making,n.,의사 결정,Data helps improve decision-making.
decisive,adj.,결정적인; 단호한,Her decisive leadership ended the stalemate.
declaration,n.,"선언, 신고",They issued a joint declaration.
dedicated,adj.,헌신적인; 전용의,This is a dedicated GPU server.
dedication,n.,헌신; 헌정,The project succeeded through the team’s dedication.
deed,n.,행위; 증서,Good deeds often go unnoticed.
deem,v.,"~로 여기다, 간주하다",The panel deemed the proposal feasible.
default,n.,기본값; 채무 불이행,The system loaded with the default settings.
defect,n.,"결함, 하자",The device was recalled due to a defect.
defensive,adj.,방어적인; 방어의,He gave a defensive response to the question.
deficiency,n.,"결핍, 부족",A vitamin deficiency can cause fatigue.
deficit,n.,"적자, 부족",The country is struggling to reduce its budget deficit.
defy,v.,"반항하다, 거역하다",He defied the orders and continued his protest.
delegate,"n., v.",대표; 위임하다,Each country sent a delegate to the conference.
delegation,n.,"대표단, 위임",The delegation arrived for peace talks.
delicate,adj.,"섬세한, 민감한",Handle the glassware carefully; it’s delicate.
democracy,n.,민주주의,Democracy ensures freedom of expression.
democratic,adj.,민주적인,The new constitution introduced a democratic system.
demonstrate,v.,"증명하다, 시위하다",Students demonstrated against the tuition hike.
demonstration,n.,"시위, 설명",Thousands joined the demonstration downtown.
denial,n.,"부인, 거절",His denial of guilt was unconvincing.
denounce,v.,"비난하다, 고발하다",They denounced the policy as unfair.
dense,adj.,"빽빽한, 밀집한",The forest was too dense to walk through.
density,n.,밀도,Population density is highest in major cities.
dependency,n.,"의존, 종속",Many small nations have economic dependency on exports.
depict,v.,묘사하다,The painting depicts life in the 18th century.
deployment,n.,"배치, 전개",The deployment of troops began at dawn.
deposit,"v., n.",예금하다; 보증금,She deposited money into her account.
depression,n.,"우울, 불황",The economic depression lasted several years.
deprive,v.,"빼앗다, 박탈하다",They were deprived of basic human rights.
deputy,n.,"부관, 대리인",The deputy mayor led the ceremony.
derive,v.,"얻다, 유래하다",The word ‘kindness’ derives from ‘kind.’
descent,n.,"하강, 혈통",The plane began its slow descent.
designate,v.,"지정하다, 지명하다",She was designated as team leader.
desirable,adj.,"바람직한, 가치 있는",Experience in AI is highly desirable.
desktop,n.,"데스크탑, 책상용 컴퓨터",He prefers working on a desktop rather than a laptop.
desperate,adj.,"절망적인, 필사적인",They made a desperate attempt to escape.
destruction,n.,파괴,The fire caused massive destruction in the area.
detain,v.,"구금하다, 붙잡다",The police detained two suspects for questioning.
detection,n.,"발견, 탐지",Early detection of disease saves lives.
deteriorate,v.,악화되다,Relations between the two countries deteriorated.
determination,n.,"결심, 결정",Her determination led her to success.
devastate,v.,"황폐화시키다, 충격을 주다",The hurricane devastated the coastal town.
developing,adj.,개발도상국의,Aid is often provided to developing countries.
devise,v.,고안하다,They devised a new plan for recycling.
devote,v.,헌신하다,He devoted his life to education.
diagnose,v.,진단하다,The doctor diagnosed him with pneumonia.
dictate,v.,"명령하다, 받아쓰게 하다",Circumstances dictate that we act quickly.
dictatorship,n.,독재정권,The people rose up against the dictatorship.
differentiate,v.,"구별하다, 차별화하다",It’s hard to differentiate between the two products.
dignity,n.,"존엄, 품위",They treated the elderly with dignity.
dilemma,n.,"딜레마, 난제",She faced a moral dilemma at work.
diminish,v.,"줄어들다, 감소하다",Public interest in the event diminished over time.
dip,v.,"살짝 담그다, 하락하다",Temperatures dipped below zero overnight.
diplomat,n.,외교관,The diplomat met with foreign ministers.
diplomatic,adj.,"외교의, 외교적인",They are working on diplomatic solutions to the crisis.
directory,n.,"명부, 디렉터리",The names are listed in the company directory.
disability,n.,장애,The program supports people with disabilities.
disabled,adj.,장애가 있는,The building is accessible for disabled visitors.
disagreement,n.,의견 불일치,There was a disagreement over the budget.
disappoint,v.,실망시키다,I don’t want to disappoint my parents.
disappointment,n.,실망,Her face showed deep disappointment.
discharge,"v., n.",해고하다; 배출,The company discharged several workers.
discipline,n.,"규율, 훈육",The school enforces strict discipline.
disclose,v.,공개하다,The report disclosed new financial details.
disclosure,n.,"공개, 폭로",The disclosure of data breaches shocked users.
discourage,v.,"낙담시키다, 단념시키다",Don’t let small failures discourage you.
discourse,n.,"담론, 강연",His political discourse was widely discussed.
discrimination,n.,차별,They are fighting against racial discrimination.
dismiss,v.,"해고하다, 무시하다",He was dismissed for repeated misconduct.
disorder,n.,"질환, 장애",He suffers from a sleep disorder.
displace,v.,"쫓아내다, 대체하다",Many families were displaced by the flood.
disposal,n.,"처리, 처분",Proper waste disposal is important for the environment.
dispose,v.,"처분하다, 배치하다",How should we dispose of old batteries?
dispute,"n., v.",분쟁; 논쟁하다,The workers disputed the terms of the contract.
disrupt,v.,"방해하다, 혼란시키다",Bad weather disrupted the flight schedule.
disruption,n.,"중단, 혼란",Power disruptions affected the whole city.
dissolve,v.,"녹이다, 해산하다",The sugar dissolved quickly in hot water.
distinct,adj.,"뚜렷한, 별개의",There are three distinct types of data.
distinction,n.,"구별, 탁월함",She graduated with distinction from university.
distinctive,adj.,"독특한, 특유의",The building has a distinctive curved roof.
distinguish,v.,"구별하다, 식별하다",Children learn to distinguish right from wrong.
distress,n.,"고통, 곤경",The news caused distress among workers.
disturb,v.,방해하다,Please don’t disturb me while I’m studying.
dive,v.,"잠수하다, 급락하다",He dived into the pool to rescue the child.
diverse,adj.,다양한,The city has a diverse cultural background.
diversity,n.,다양성,Cultural diversity enriches our society.
divert,v.,"전환하다, 우회시키다",The plane was diverted to another airport.
divine,adj.,"신의, 신성한",They believed in divine intervention.
doctrine,n.,"교리, 신조",The church follows a strict doctrine.
documentation,n.,"문서화, 증거자료",Please submit all documentation for the project.
domain,n.,"영역, 분야",AI is a fast-growing domain in technology.
donation,n.,"기부, 기증",She made a large donation to charity.
donor,n.,"기부자, 기증자",The donor asked to remain anonymous.
dough,n.,반죽,Knead the dough until it’s smooth.
drain,v.,"배수하다, 고갈시키다",Working late every day drained his energy.
dramatic,adj.,"극적인, 급격한",There was a dramatic change in the results.
drastically,adv.,급격하게,The population has decreased drastically.
drawer,n.,서랍,He pulled out the top drawer to find a pen.
dreadful,adj.,"끔찍한, 무서운",They lived in dreadful conditions after the storm.
drift,v.,"표류하다, 떠돌다",Clouds drifted slowly across the sky.
drought,n.,가뭄,The drought caused severe crop losses.
dual,adj.,이중의,She holds dual citizenship.
dumb,adj.,"멍청한, 말못하는",He felt dumb after forgetting his lines on stage.
dump,v.,"버리다, 폐기하다",The factory was fined for illegally dumping waste.
duration,n.,"기간, 지속",The course runs for the duration of six months.
dynamic,adj.,"역동적인, 활발한",She’s part of a dynamic marketing team.
eager,adj.,"열렬한, 간절히 바라는",He was eager to start his new job.
earnings,n.,"소득, 수익",The company’s earnings increased by 15% this year.
ease,"n., v.",쉬움; 완화하다,Meditation can help ease anxiety.
echo,"v., n.",메아리치다; 메아리,Her words echoed through the empty hall.
ecological,adj.,"생태학의, 환경의",The report focuses on ecological sustainability.
economical,adj.,"경제적인, 절약하는",Driving an electric car is more economical.
edit,v.,편집하다,He edits a popular online magazine.
editorial,"adj., n.",편집의; 사설,The newspaper published an editorial criticizing the law.
educator,n.,교육자,She is a well-known educator and author.
effective,adj.,효과적인,The new policy is effective from next month.
effectiveness,n.,"효과, 유효성",We measured the effectiveness of the campaign.
efficiency,n.,효율성,Energy efficiency has become a top priority.
efficient,adj.,효율적인,The new engine is faster and more efficient.
elaborate,"adj., v.",정교한; 자세히 설명하다,She gave an elaborate presentation on the topic.
elder,"n., adj.",연장자; 나이가 더 많은,Respect your elders.
electoral,adj.,선거의,The country is preparing for an electoral reform.
elevate,v.,"들어올리다, 향상시키다",The coach’s speech elevated the team’s morale.
eligible,adj.,자격이 있는,You must be eligible to apply for this program.
eliminate,v.,"제거하다, 없애다",The new software eliminates many manual tasks.
elite,"n., adj.",엘리트; 선택된,The event was attended by the political elite.
embark,v.,"착수하다, 탑승하다",She embarked on a journey to Africa.
embarrassment,n.,"당황, 난처함",He laughed to hide his embarrassment.
embassy,n.,대사관,She went to the embassy to renew her visa.
embed,v.,"깊이 박다, 내장하다",The reporter was embedded with the army unit.
embody,v.,"구현하다, 포함하다",The design embodies simplicity and elegance.
embrace,v.,"포용하다, 받아들이다",They embraced new technologies quickly.
emergence,n.,"출현, 발생",The emergence of AI changed many industries.
emission,n.,"배출, 방출",The government plans to reduce carbon emissions.
emotionally,adv.,감정적으로,She was emotionally moved by the film.
empirical,adj.,"경험적인, 실증적인",The results are based on empirical data.
empower,v.,권한을 부여하다,Education can empower people to improve their lives.
enact,v.,"제정하다, 연기하다",The government will enact new safety regulations.
enclosure,n.,"울타리, 둘러쌈",The sheep were kept in an enclosure.
encounter,"v., n.",마주치다; 만남,They encountered difficulties during the trip.
encouragement,n.,격려,Her words of encouragement motivated him.
encyclopedia,n.,백과사전,He bought an encyclopedia for research purposes.
endeavor,"n., v.",노력; 노력하다,They are united in their endeavor to promote peace.
endorse,v.,"지지하다, 보증하다",Celebrities often endorse popular brands.
endorsement,n.,"지지, 보증",The campaign gained endorsement from major organizations.
endure,v.,"견디다, 지속하다",He had to endure years of hardship.
enforce,v.,"시행하다, 집행하다",The police enforce traffic laws strictly.
engagement,n.,"약혼, 참여",Her engagement was announced last week.
engaging,adj.,"매력적인, 흥미로운",He gave an engaging speech about innovation.
enquire,v.,문의하다,She enquired about the price of the course.
enrich,v.,풍요롭게 하다,Traveling can enrich your perspective.
enroll,v.,등록하다,She enrolled in a data science program.
ensure,v.,"보장하다, 확실히 하다",Please ensure that all fields are filled correctly.
enterprise,n.,"기업, 사업",The small enterprise grew into a global brand.
entertain,v.,"즐겁게 하다, 대접하다",He entertained the guests with his stories.
enthusiasm,n.,"열정, 열의",Her enthusiasm for learning is contagious.
enthusiastic,adj.,열정적인,The fans were enthusiastic about the concert.
entitle,v.,자격을 주다,The ticket entitles you to a free drink.
entrepreneur,n.,기업가,The young entrepreneur launched a new startup.
envelope,n.,봉투,He sealed the envelope before mailing it.
envisage,v.,"상상하다, 예상하다",They envisage a world powered by renewable energy.
epidemic,"n., adj.",유행병; 유행성의,The epidemic spread rapidly across the region.
equality,n.,평등,They are committed to gender equality.
equation,n.,"방정식, 균등화",The teacher wrote a complex equation on the board.
equivalent,"adj., n.",동등한; 등가물,The two jobs offer equivalent salaries.
era,n.,"시대, 시대구분",We live in the digital era.
erect,v.,"세우다, 건립하다",They plan to erect a monument in his honor.
erupt,v.,"분출하다, 폭발하다",The volcano erupted unexpectedly.
escalate,v.,"격화되다, 상승하다",The conflict quickly escalated into violence.
essence,n.,"본질, 정수",Trust is the essence of a good relationship.
establish,v.,"설립하다, 확립하다",The company was established in 1995.
establishment,n.,"설립, 기관",The restaurant is a well-known local establishment.
estate,n.,"재산, 부동산",He inherited a large estate from his uncle.
ethical,adj.,윤리적인,We need to make more ethical business decisions.
ethnic,adj.,"민족의, 인종의",The city is known for its ethnic diversity.
evaluate,v.,평가하다,They evaluated several proposals before deciding.
evaluation,n.,"평가, 판단",The final evaluation will be done next week.
evoke,v.,불러일으키다,The scene evoked memories of childhood.
evolution,n.,"진화, 발전",Language evolution takes centuries.
evolve,v.,"진화하다, 발전하다",Technology continues to evolve rapidly.
exaggerate,v.,과장하다,He tends to exaggerate his achievements.
exceed,v.,"초과하다, 능가하다",The total cost exceeded our expectations.
excellence,n.,탁월함,The school promotes academic excellence.
exceptional,adj.,"뛰어난, 예외적인",She has exceptional communication skills.
excessive,adj.,과도한,Excessive noise can damage your hearing.
exclude,v.,제외하다,They excluded late submissions from the results.
exclusion,n.,"제외, 배제",Social exclusion is a major issue in cities.
exclusive,adj.,"독점적인, 배타적인",This club has an exclusive membership policy.
exclusively,adv.,"오로지, 독점적으로",The event is exclusively for members.
execute,v.,"실행하다, 처형하다",The team executed the plan perfectly.
execution,n.,"실행, 집행",The project’s execution took two months.
executive,"n., adj.",임원; 행정의,She was promoted to an executive position.
exotic,adj.,이국적인,They tried some exotic dishes in Thailand.
expand,v.,"확장하다, 넓히다",The company plans to expand into new markets.
expansion,n.,"확장, 팽창",The city’s rapid expansion caused housing shortages.
expectation,n.,"기대, 예상",The results met everyone’s expectations.
expedition,n.,"탐험, 원정",They went on an expedition to the Arctic.
expertise,n.,"전문 지식, 기술",Her expertise in AI is widely recognized.
expire,v.,만료되다,My passport will expire next month.
explicit,adj.,"명확한, 노골적인",He gave explicit instructions to his team.
explicitly,adv.,명시적으로,The rules explicitly prohibit smoking inside.
exploit,v.,"이용하다, 착취하다",Some companies exploit cheap labor abroad.
exploration,n.,"탐험, 탐사",Space exploration has advanced greatly.
explosive,"adj., n.",폭발성의; 폭약,An explosive device was found in the car.
expose,v.,"드러내다, 폭로하다",The article exposed the truth behind the scandal.
exposure,n.,"노출, 폭로",Too much sun exposure can harm your skin.
extend,v.,"연장하다, 확장하다",They decided to extend the deadline.
extension,n.,"연장, 확장",You can request an extension of your visa.
extensive,adj.,광범위한,The research involved extensive data analysis.
extent,n.,"정도, 범위",The full extent of the damage is still unknown.
extract,"v., n.",추출하다; 발췌,They extracted gold from the riverbed.
extraordinary,adj.,"비범한, 특별한",She made an extraordinary recovery.
extravagant,adj.,"사치스러운, 과도한",They held an extravagant wedding ceremony.
eye,v.,주시하다,The investor is eyeing opportunities in Asia.
faction,n.,"파벌, 분파",The ruling faction lost influence in the election.
fade,v.,"희미해지다, 사라지다",The colors faded after years of sunlight exposure.
fairness,n.,"공정함, 정직함",We need to ensure fairness in grading.
fake,"adj., n.",가짜의; 가짜,He was caught with a fake passport.
fame,n.,"명성, 유명세",The singer achieved worldwide fame.
fantasy,n.,"환상, 공상",She lives in a world of fantasy.
farewell,n.,"작별, 송별",They organized a farewell party for their colleague.
fatal,adj.,치명적인,A fatal error caused the system to crash.
fate,n.,운명,He accepted his fate calmly.
favorable,adj.,"호의적인, 유리한",The proposal received favorable reviews.
